user_id,timestamp,action,session_duration_minutes,pages_viewed,device_type,browser,country
USER00001,2024-10-01 00:00:00,logout,10.56,19,tablet,Safari,UK
USER00002,2024-10-01 02:00:00,add_to_cart,26.27,36,desktop,Edge,DE
USER00003,2024-10-01 04:00:00,purchase,5.79,29,tablet,Edge,UK
USER00004,2024-10-01 06:00:00,add_to_cart,33.88,18,desktop,Edge,DE
USER00005,2024-10-01 08:00:00,add_to_cart,7.39,2,mobile,Chrome,UK
USER00006,2024-10-01 10:00:00,view_page,0.16,1,mobile,Edge,US
USER00007,2024-10-01 12:00:00,purchase,35.37,47,mobile,Edge,UK
USER00008,2024-10-01 14:00:00,purchase,1.44,5,desktop,Safari,US
USER00009,2024-10-01 16:00:00,purchase,5.77,20,desktop,Edge,UK
USER00010,2024-10-01 18:00:00,add_to_cart,44.95,11,mobile,Chrome,DE
USER00011,2024-10-01 20:00:00,logout,45.12,42,desktop,Chrome,DE
USER00012,2024-10-01 22:00:00,purchase,12.78,2,desktop,Safari,DE
USER00013,2024-10-02 00:00:00,add_to_cart,14.99,3,desktop,Edge,CA
USER00014,2024-10-02 02:00:00,view_page,8.93,23,mobile,Edge,BR
USER00015,2024-10-02 04:00:00,logout,5.21,12,desktop,Chrome,DE
USER00016,2024-10-02 06:00:00,view_page,5.98,20,mobile,Edge,US
USER00017,2024-10-02 08:00:00,logout,16.74,5,mobile,Edge,DE
USER00018,2024-10-02 10:00:00,add_to_cart,20.94,37,mobile,Edge,CA
USER00019,2024-10-02 12:00:00,login,23.52,38,mobile,Firefox,US
USER00020,2024-10-02 14:00:00,logout,23.38,30,mobile,Safari,CA
USER00021,2024-10-02 16:00:00,view_page,1.43,9,desktop,Firefox,US
USER00022,2024-10-02 18:00:00,add_to_cart,10.23,34,mobile,Safari,UK
USER00023,2024-10-02 20:00:00,logout,0.89,44,desktop,Chrome,BR
USER00024,2024-10-02 22:00:00,login,11.96,35,mobile,Edge,BR
USER00025,2024-10-03 00:00:00,login,8.74,22,tablet,Safari,CA
USER00026,2024-10-03 02:00:00,purchase,311.5217884718991,44,tablet,Firefox,BR
USER00027,2024-10-03 04:00:00,purchase,6.48,24,mobile,Edge,CA
USER00028,2024-10-03 06:00:00,view_page,1.87,17,mobile,Chrome,CA
USER00029,2024-10-03 08:00:00,logout,2.31,10,mobile,Safari,CA
USER00030,2024-10-03 10:00:00,logout,21.5,30,desktop,Safari,BR
USER00031,2024-10-03 12:00:00,purchase,14.44,46,desktop,Safari,CA
USER00032,2024-10-03 14:00:00,logout,1.6,23,mobile,Edge,BR
USER00033,2024-10-03 16:00:00,logout,1.32,32,desktop,Firefox,CA
USER00034,2024-10-03 18:00:00,login,18.11,17,mobile,Firefox,DE
USER00035,2024-10-03 20:00:00,purchase,1.13,17,mobile,Safari,CA
USER00036,2024-10-03 22:00:00,add_to_cart,25.88,14,desktop,Chrome,US
USER00037,2024-10-04 00:00:00,purchase,18.37,9,mobile,Chrome,CA
USER00038,2024-10-04 02:00:00,add_to_cart,1.27,40,desktop,Firefox,UK
USER00039,2024-10-04 04:00:00,login,1.33,2,mobile,Chrome,CA
USER00040,2024-10-04 06:00:00,view_page,64.73,45,tablet,Firefox,US
USER00041,2024-10-04 08:00:00,logout,7.03,25,mobile,Safari,US
USER00042,2024-10-04 10:00:00,login,6.95,39,mobile,Firefox,BR
USER00043,2024-10-04 12:00:00,logout,25.13,9,desktop,Firefox,DE
USER00044,2024-10-04 14:00:00,view_page,44.13,22,mobile,Safari,CA
USER00045,2024-10-04 16:00:00,view_page,64.03,43,tablet,Chrome,BR
USER00046,2024-10-04 18:00:00,login,21.0,46,desktop,Firefox,DE
USER00047,2024-10-04 20:00:00,view_page,7.08,4,desktop,Firefox,CA
USER00048,2024-10-04 22:00:00,add_to_cart,1.31,26,desktop,Safari,UK
USER00049,2024-10-05 00:00:00,view_page,22.52,29,tablet,Chrome,CA
USER00050,2024-10-05 02:00:00,logout,12.26,45,tablet,Firefox,US
USER00051,2024-10-05 04:00:00,logout,8.28,34,desktop,Safari,US
USER00052,2024-10-05 06:00:00,logout,35.52,23,desktop,Firefox,UK
USER00053,2024-10-05 08:00:00,logout,1.77,37,mobile,Edge,BR
USER00054,2024-10-05 10:00:00,add_to_cart,10.18,11,mobile,Safari,DE
USER00055,2024-10-05 12:00:00,purchase,0.17,6,desktop,Chrome,CA
USER00056,2024-10-05 14:00:00,login,9.49,18,mobile,Chrome,US
USER00057,2024-10-05 16:00:00,logout,0.87,21,mobile,Chrome,BR
USER00058,2024-10-05 18:00:00,view_page,1.9,42,mobile,Chrome,UK
USER00059,2024-10-05 20:00:00,logout,1.88,36,mobile,Firefox,US
USER00060,2024-10-05 22:00:00,view_page,15.71,41,desktop,Firefox,UK
USER00061,2024-10-06 00:00:00,view_page,20.56,38,tablet,Chrome,CA
USER00062,2024-10-06 02:00:00,logout,13.13,34,mobile,Chrome,DE
USER00063,2024-10-06 04:00:00,add_to_cart,49.12,17,desktop,Chrome,US
USER00064,2024-10-06 06:00:00,view_page,7.05,37,desktop,Firefox,US
USER00065,2024-10-06 08:00:00,view_page,5.05,25,mobile,Chrome,CA
USER00066,2024-10-06 10:00:00,logout,30.44,38,desktop,Chrome,BR
USER00067,2024-10-06 12:00:00,view_page,3.8,12,mobile,Edge,DE
USER00068,2024-10-06 14:00:00,view_page,49.54,23,mobile,Edge,US
USER00069,2024-10-06 16:00:00,logout,0.18,42,tablet,Chrome,DE
USER00070,2024-10-06 18:00:00,logout,52.54,22,mobile,Safari,US
USER00071,2024-10-06 20:00:00,login,0.66,21,desktop,Chrome,DE
USER00072,2024-10-06 22:00:00,add_to_cart,33.27,27,desktop,Edge,UK
USER00073,2024-10-07 00:00:00,add_to_cart,11.25,31,mobile,Safari,US
USER00074,2024-10-07 02:00:00,view_page,74.35,6,desktop,Safari,DE
USER00075,2024-10-07 04:00:00,add_to_cart,1.15,27,tablet,Chrome,BR
USER00076,2024-10-07 06:00:00,view_page,12.11,40,mobile,Edge,UK
USER00077,2024-10-07 08:00:00,login,52.25,34,desktop,Edge,UK
USER00078,2024-10-07 10:00:00,logout,11.11,12,desktop,Safari,BR
USER00079,2024-10-07 12:00:00,logout,14.89,45,desktop,Chrome,DE
USER00080,2024-10-07 14:00:00,logout,17.85,7,desktop,Firefox,CA
USER00081,2024-10-07 16:00:00,add_to_cart,9.09,10,mobile,Firefox,BR
USER00082,2024-10-07 18:00:00,login,14.82,45,tablet,Edge,DE
USER00083,2024-10-07 20:00:00,add_to_cart,13.17,17,tablet,Firefox,BR
USER00084,2024-10-07 22:00:00,add_to_cart,34.71,26,desktop,Edge,BR
USER00085,2024-10-08 00:00:00,login,0.7,21,desktop,Edge,US
USER00086,2024-10-08 02:00:00,login,4.95,28,desktop,Edge,DE
USER00087,2024-10-08 04:00:00,login,45.06,46,mobile,Firefox,CA
USER00088,2024-10-08 06:00:00,login,33.15,2,desktop,Edge,US
USER00089,2024-10-08 08:00:00,logout,9.12,43,desktop,Safari,BR
USER00090,2024-10-08 10:00:00,purchase,14.52,1,desktop,Chrome,BR
USER00091,2024-10-08 12:00:00,purchase,4.87,36,desktop,Chrome,BR
USER00092,2024-10-08 14:00:00,login,3.13,26,mobile,Edge,DE
USER00093,2024-10-08 16:00:00,purchase,9.35,29,mobile,Chrome,DE
USER00094,2024-10-08 18:00:00,purchase,6.54,21,mobile,Firefox,US
USER00095,2024-10-08 20:00:00,login,13.14,11,mobile,Firefox,CA
USER00096,2024-10-08 22:00:00,purchase,1.21,40,desktop,Chrome,US
USER00097,2024-10-09 00:00:00,add_to_cart,54.97,11,desktop,Firefox,UK
USER00098,2024-10-09 02:00:00,view_page,64.26,36,desktop,Chrome,BR
USER00099,2024-10-09 04:00:00,view_page,17.97,49,mobile,Chrome,BR
USER00100,2024-10-09 06:00:00,login,11.52,39,desktop,Chrome,BR
USER00101,2024-10-09 08:00:00,logout,5.56,40,mobile,Edge,US
USER00102,2024-10-09 10:00:00,login,25.21,35,mobile,Chrome,US
USER00103,2024-10-09 12:00:00,logout,17.31,34,desktop,Edge,BR
USER00104,2024-10-09 14:00:00,view_page,2.66,47,desktop,Chrome,US
USER00105,2024-10-09 16:00:00,login,36.27,24,mobile,Chrome,DE
USER00106,2024-10-09 18:00:00,add_to_cart,25.93,22,mobile,Chrome,DE
USER00107,2024-10-09 20:00:00,purchase,44.88,5,mobile,Firefox,US
USER00108,2024-10-09 22:00:00,logout,19.4,33,mobile,Edge,BR
USER00109,2024-10-10 00:00:00,purchase,14.26,36,desktop,Edge,US
USER00110,2024-10-10 02:00:00,purchase,8.13,47,mobile,Chrome,US
USER00111,2024-10-10 04:00:00,login,40.49,20,desktop,Chrome,US
USER00112,2024-10-10 06:00:00,purchase,30.16,19,mobile,Firefox,UK
USER00113,2024-10-10 08:00:00,add_to_cart,0.69,35,mobile,Firefox,DE
USER00114,2024-10-10 10:00:00,purchase,0.4,43,mobile,Firefox,CA
USER00115,2024-10-10 12:00:00,login,7.09,17,mobile,Edge,CA
USER00116,2024-10-10 14:00:00,add_to_cart,24.95,45,mobile,Edge,UK
USER00117,2024-10-10 16:00:00,view_page,65.46,43,mobile,Edge,US
USER00118,2024-10-10 18:00:00,purchase,2.45,34,desktop,Chrome,UK
USER00119,2024-10-10 20:00:00,login,13.53,9,mobile,Edge,UK
USER00120,2024-10-10 22:00:00,view_page,7.19,26,tablet,Safari,BR
USER00121,2024-10-11 00:00:00,view_page,52.56,2,mobile,Safari,DE
USER00122,2024-10-11 02:00:00,logout,27.69,9,desktop,Firefox,CA
USER00123,2024-10-11 04:00:00,add_to_cart,27.33,9,desktop,Edge,US
USER00124,2024-10-11 06:00:00,purchase,9.49,40,desktop,Safari,CA
USER00125,2024-10-11 08:00:00,login,8.04,17,desktop,Firefox,CA
USER00126,2024-10-11 10:00:00,logout,4.79,1,desktop,Edge,DE
USER00127,2024-10-11 12:00:00,add_to_cart,0.87,25,desktop,Chrome,CA
USER00128,2024-10-11 14:00:00,logout,30.01,43,desktop,Safari,CA
USER00129,2024-10-11 16:00:00,add_to_cart,25.14,40,desktop,Chrome,UK
USER00130,2024-10-11 18:00:00,add_to_cart,122.59,42,mobile,Edge,DE
USER00131,2024-10-11 20:00:00,purchase,85.42,25,mobile,Safari,BR
USER00132,2024-10-11 22:00:00,add_to_cart,207.07848939365874,39,desktop,Edge,US
USER00133,2024-10-12 00:00:00,logout,21.98,35,desktop,Chrome,CA
USER00134,2024-10-12 02:00:00,add_to_cart,43.44,3,desktop,Safari,US
USER00135,2024-10-12 04:00:00,purchase,28.42,37,desktop,Chrome,BR
USER00136,2024-10-12 06:00:00,purchase,4.26,44,tablet,Edge,US
USER00137,2024-10-12 08:00:00,logout,8.98,44,mobile,Edge,BR
USER00138,2024-10-12 10:00:00,view_page,2.07,30,mobile,Chrome,UK
USER00139,2024-10-12 12:00:00,view_page,46.2,38,mobile,Safari,CA
USER00140,2024-10-12 14:00:00,add_to_cart,13.98,34,mobile,Chrome,BR
USER00141,2024-10-12 16:00:00,login,3.89,12,desktop,Edge,US
USER00142,2024-10-12 18:00:00,add_to_cart,16.71,19,mobile,Chrome,CA
USER00143,2024-10-12 20:00:00,logout,14.44,37,desktop,Edge,UK
USER00144,2024-10-12 22:00:00,logout,6.65,44,mobile,Chrome,CA
USER00145,2024-10-13 00:00:00,logout,1.81,49,desktop,Safari,BR
USER00146,2024-10-13 02:00:00,logout,16.7,17,desktop,Safari,UK
USER00147,2024-10-13 04:00:00,logout,11.02,10,mobile,Chrome,US
USER00148,2024-10-13 06:00:00,purchase,22.2,49,desktop,Chrome,UK
USER00149,2024-10-13 08:00:00,view_page,11.01,47,mobile,Safari,UK
USER00150,2024-10-13 10:00:00,logout,28.68,12,mobile,Edge,DE
USER00151,2024-10-13 12:00:00,login,12.04,16,mobile,Safari,UK
USER00152,2024-10-13 14:00:00,login,12.35,24,mobile,Edge,UK
USER00153,2024-10-13 16:00:00,login,31.39,19,mobile,Chrome,CA
USER00154,2024-10-13 18:00:00,login,7.75,8,desktop,Chrome,US
USER00155,2024-10-13 20:00:00,purchase,2.16,31,desktop,Edge,CA
USER00156,2024-10-13 22:00:00,login,0.44,21,desktop,Chrome,CA
USER00157,2024-10-14 00:00:00,logout,21.11,17,mobile,Edge,BR
USER00158,2024-10-14 02:00:00,add_to_cart,14.53,23,desktop,Firefox,CA
USER00159,2024-10-14 04:00:00,login,18.26,37,mobile,Safari,DE
USER00160,2024-10-14 06:00:00,purchase,3.59,16,mobile,Firefox,DE
USER00161,2024-10-14 08:00:00,purchase,2.2,6,desktop,Edge,BR
USER00162,2024-10-14 10:00:00,login,0.22,8,mobile,Safari,US
USER00163,2024-10-14 12:00:00,add_to_cart,6.48,25,desktop,Edge,US
USER00164,2024-10-14 14:00:00,login,13.37,18,desktop,Safari,CA
USER00165,2024-10-14 16:00:00,purchase,7.47,25,mobile,Safari,CA
USER00166,2024-10-14 18:00:00,view_page,8.63,12,mobile,Safari,CA
USER00167,2024-10-14 20:00:00,logout,35.18,15,mobile,Safari,US
USER00168,2024-10-14 22:00:00,purchase,6.42,26,desktop,Edge,UK
USER00169,2024-10-15 00:00:00,login,10.82,41,mobile,Safari,DE
USER00170,2024-10-15 02:00:00,logout,22.96,45,mobile,Safari,UK
USER00171,2024-10-15 04:00:00,login,7.58,26,mobile,Firefox,UK
USER00172,2024-10-15 06:00:00,login,14.6,47,desktop,Chrome,US
USER00173,2024-10-15 08:00:00,view_page,29.75,32,mobile,Chrome,UK
USER00174,2024-10-15 10:00:00,logout,44.79,10,mobile,Firefox,BR
USER00175,2024-10-15 12:00:00,logout,2.39,16,desktop,Firefox,CA
USER00176,2024-10-15 14:00:00,view_page,39.17,7,tablet,Edge,BR
USER00177,2024-10-15 16:00:00,purchase,10.16,17,mobile,Edge,DE
USER00178,2024-10-15 18:00:00,login,454.11824809516986,23,mobile,Edge,CA
USER00179,2024-10-15 20:00:00,add_to_cart,9.22,26,mobile,Firefox,UK
USER00180,2024-10-15 22:00:00,login,58.7,21,desktop,Firefox,DE
USER00181,2024-10-16 00:00:00,login,10.18,22,mobile,Safari,CA
USER00182,2024-10-16 02:00:00,purchase,469.5681814024518,7,desktop,Edge,UK
USER00183,2024-10-16 04:00:00,login,15.05,14,desktop,Edge,BR
USER00184,2024-10-16 06:00:00,view_page,4.12,15,desktop,Edge,CA
USER00185,2024-10-16 08:00:00,view_page,1.18,7,mobile,Chrome,UK
USER00186,2024-10-16 10:00:00,logout,2.07,9,desktop,Safari,BR
USER00187,2024-10-16 12:00:00,add_to_cart,200.40608771464045,48,desktop,Edge,DE
USER00188,2024-10-16 14:00:00,login,2.47,8,desktop,Edge,DE
USER00189,2024-10-16 16:00:00,login,2.24,23,mobile,Edge,DE
USER00190,2024-10-16 18:00:00,purchase,15.36,29,tablet,Chrome,DE
USER00191,2024-10-16 20:00:00,view_page,3.01,18,mobile,Chrome,US
USER00192,2024-10-16 22:00:00,add_to_cart,6.36,31,mobile,Firefox,CA
USER00193,2024-10-17 00:00:00,logout,34.06,30,mobile,Safari,CA
USER00194,2024-10-17 02:00:00,view_page,9.64,39,desktop,Firefox,US
USER00195,2024-10-17 04:00:00,logout,16.52,35,mobile,Safari,UK
USER00196,2024-10-17 06:00:00,purchase,2.84,18,mobile,Chrome,UK
USER00197,2024-10-17 08:00:00,purchase,3.2,42,mobile,Edge,DE
USER00198,2024-10-17 10:00:00,login,355.3881583137737,39,mobile,Firefox,BR
USER00199,2024-10-17 12:00:00,add_to_cart,2.78,17,desktop,Edge,UK
USER00200,2024-10-17 14:00:00,logout,4.9,14,desktop,Firefox,BR
USER00201,2024-10-17 16:00:00,view_page,2.92,31,mobile,Chrome,CA
USER00202,2024-10-17 18:00:00,purchase,1.39,24,mobile,Chrome,BR
USER00203,2024-10-17 20:00:00,login,1.93,35,desktop,Chrome,CA
USER00204,2024-10-17 22:00:00,login,9.26,44,mobile,Firefox,US
USER00205,2024-10-18 00:00:00,logout,3.47,45,mobile,Safari,US
USER00206,2024-10-18 02:00:00,purchase,6.79,34,tablet,Firefox,DE
USER00207,2024-10-18 04:00:00,add_to_cart,289.94015826957076,3,desktop,Safari,UK
USER00208,2024-10-18 06:00:00,purchase,17.59,37,mobile,Firefox,DE
USER00209,2024-10-18 08:00:00,logout,0.6,43,desktop,Firefox,CA
USER00210,2024-10-18 10:00:00,logout,24.1,40,mobile,Chrome,DE
USER00211,2024-10-18 12:00:00,purchase,14.83,26,desktop,Edge,BR
USER00212,2024-10-18 14:00:00,logout,1.28,23,mobile,Edge,CA
USER00213,2024-10-18 16:00:00,purchase,31.02,44,mobile,Safari,US
USER00214,2024-10-18 18:00:00,view_page,38.05,39,mobile,Edge,UK
USER00215,2024-10-18 20:00:00,purchase,0.95,15,tablet,Firefox,CA
USER00216,2024-10-18 22:00:00,purchase,4.86,49,desktop,Firefox,CA
USER00217,2024-10-19 00:00:00,logout,24.61,4,mobile,Chrome,BR
USER00218,2024-10-19 02:00:00,logout,20.69,29,mobile,Chrome,UK
USER00219,2024-10-19 04:00:00,login,3.06,22,desktop,Edge,US
USER00220,2024-10-19 06:00:00,login,3.52,25,mobile,Safari,CA
USER00221,2024-10-19 08:00:00,view_page,6.94,13,mobile,Edge,CA
USER00222,2024-10-19 10:00:00,login,9.94,18,tablet,Edge,BR
USER00223,2024-10-19 12:00:00,purchase,14.45,33,mobile,Edge,DE
USER00224,2024-10-19 14:00:00,logout,6.9,16,desktop,Edge,US
USER00225,2024-10-19 16:00:00,login,9.31,45,tablet,Firefox,UK
USER00226,2024-10-19 18:00:00,login,20.64,42,mobile,Safari,CA
USER00227,2024-10-19 20:00:00,view_page,0.56,44,mobile,Firefox,CA
USER00228,2024-10-19 22:00:00,view_page,4.36,2,mobile,Safari,US
USER00229,2024-10-20 00:00:00,purchase,18.74,35,desktop,Chrome,DE
USER00230,2024-10-20 02:00:00,logout,33.84,42,desktop,Edge,CA
USER00231,2024-10-20 04:00:00,view_page,10.75,34,desktop,Firefox,US
USER00232,2024-10-20 06:00:00,login,11.39,30,mobile,Safari,BR
USER00233,2024-10-20 08:00:00,logout,1.7,13,desktop,Chrome,DE
USER00234,2024-10-20 10:00:00,logout,8.9,13,tablet,Chrome,UK
USER00235,2024-10-20 12:00:00,login,11.41,18,desktop,Edge,CA
USER00236,2024-10-20 14:00:00,view_page,4.17,32,tablet,Safari,US
USER00237,2024-10-20 16:00:00,login,4.71,32,desktop,Firefox,BR
USER00238,2024-10-20 18:00:00,logout,7.1,35,desktop,Edge,UK
